title,visits,pI,year,month
Hochschulanzeiger.de,52.911,184.456,2002,1
HORIZONT.NET,312.138,1.629.819,2002,1
"HUNDERT,6 Das Berlin Radio",16.727,88.475,2002,1
Idowa Online,39.072,249.934,2002,1
IKZ Online,17.418,52.831,2002,1
IKZ-HAUSTECHNIK-Online,15.527,45.000,2002,1
impulse.de,19.705,54.597,2002,1
INTERNET-MAGAZIN,59.924,271.944,2002,1
Internetcologne,874.805,1.357.805,2002,1
INTRINET,165.889,876.538,2002,1
Jesus-online,78.842,299.466,2002,1
Jesus.de,420.762,4.183.661,2002,1
Joe-Max,934,3.410,2002,1
Kabel 1,369.880,2.955.633,2002,1
Kamelle,24.272,143.762,2002,1
kicker online,1.727.117,12.099.431,2002,1
KISS FM,54.687,199.029,2002,1
KN-Online,89.913,386.143,2002,1
Köln Diskret,71.214,1.430.157,2002,1
Koeln.de,812.842,7.321.404,2002,1
Kölner Stadt-Anzeiger Online,521.080,2.975.007,2002,1
Kölnische Rundschau,139.890,641.174,2002,1
Koelnverkehr,30.272,158.596,2002,1
Kontaktanzeigen.de,339.110,3.008.916,2002,1
kress online,354.924,983.652,2002,1
L'TUR Last Minute Online,1.420.107,16.904.535,2002,1
LAUT.der musikkanal.,515.197,1.960.318,2002,1
Liebe Suende Online,236.339,1.579.151,2002,1
Liebe.de,1.072.714,21.231.180,2002,1
Life-TV,7.465,21.174,2002,1
Lifeline-Gesundheitsberater,662.752,3.368.028,2002,1
Lissy-Online,68.199,4.488.343,2002,1
Live in Concert online,707,1.858,2002,1
Living at home,290.803,4.538.514,2002,1
LN-online,131.721,467.989,2002,1
LR-Online,76.912,714.326,2002,1
LVZ-Online,175.050,902.235,2002,1
LZ-Online,30.173,106.826,2002,1
LZ|NET,202.153,1.083.687,2002,1
Mac-Online-Kombi,194.263,730.002,2002,1
Macwelt,477.653,2.075.113,2002,1
Maerkische Allgemeine.de,48.611,244.083,2002,1
Märkische Oderzeitung Online,32.963,167.834,2002,1
Main-Echo Online,92.145,430.301,2002,1
Main-Netz,35.438,230.457,2002,1
Main-Shop,2.525,18.738,2002,1
mainpost.de,189.194,1.185.854,2002,1
manager magazin online,1.280.704,4.386.934,2002,1
Managers Health,4.252,15.519,2002,1
Markt - Lippe,12.093,28.325,2002,1
MAX Online,1.238.987,17.881.747,2002,1
Media-Daten.com,51.736,313.139,2002,1
mein berlin,771.620,4.539.074,2002,1
Mein-Gesundheitszentrum,231,750,2002,1
mobile.de Der Automarkt,10.201.922,277.965.575,2002,1
moneyspecial,67.830,210.319,2002,1
Morgenweb,240.315,1.468.500,2002,1
Motorrad-Online,208.323,2.584.586,2002,1
motorrad.net,100.693,511.908,2002,1
Mountainbike.de,23.829,184.985,2002,1
mt-online,50.522,141.345,2002,1
mtv.de,1.243.341,6.435.400,2002,1
multimedia.de,65.741,553.771,2002,1
MVweb,137.675,944.907,2002,1
mz-web.de,135.073,689.793,2002,1
n-tv online,4.252.996,26.289.170,2002,1
NBC GIGA,3.644.075,51.506.813,2002,1
NETedition,254.888,1.478.370,2002,1
NetworkWorld Germany,163.224,459.881,2002,1
Netzmarkt-Deutschlands erstes Internet-Kaufhaus,739.263,6.981.475,2002,1
Neue OZ online,148.020,498.298,2002,1
Nightloop,142.841,2.440.030,2002,1
Nikodemus,22,30,2002,1
Noe Astro,414.602,3.205.290,2002,1
Nordbayern Infonet,380.269,2.275.935,2002,1
NordClick,71.560,651.587,2002,1
Nordkurier-Online,62.028,620.801,2002,1
Nordsee-Zeitung online,46.853,450.494,2002,1
nordwest.net - Die ganze Region auf einen Klick,223.430,840.384,2002,1
NRZ Online,126.745,690.307,2002,1
NW-News,160.256,787.355,2002,1
NWZ-Online,59.561,262.494,2002,1
Oberpfalznetz,56.534,277.595,2002,1
Oktoberfest online,31.392,204.330,2002,1
oldie.fm-Homepage,15.546,51.716,2002,1
OnVista.de - Spezialist für Finanzinformationen im...,4.932.358,41.683.121,2002,1
ONYX,135.143,1.495.545,2002,1
Ostfriesen-Zeitung online,31.363,135.153,2002,1
Ostsee-Zeitung.de,134.346,713.613,2002,1
OTZ Online,47.185,221.723,2002,1
OWL Online,93.612,330.959,2002,1
PC GO,204.390,1.476.830,2002,1
PC Pr@xis Networld,152.986,970.253,2002,1
PC-MAGAZIN,563.538,3.292.253,2002,1
PC-WELT,3.656.776,21.557.116,2002,1
pcgames.de,859.844,5.536.490,2002,1
Perlentaucher,132.540,431.326,2002,1
PERRY RHODAN HOMEPAGE,64.296,551.603,2002,1
Pfälzischer Merkur Online,6.228,27.024,2002,1
Platow Online,73.411,422.514,2002,1
Playboy.de,910.601,6.822.551,2002,1
PNP-Online,165.243,799.416,2002,1
Praline interaktiv,3.953.986,96.371.287,2002,1
Produktsuchmaschine,140.342,787.288,2002,1
ProSieben Club&Shop,62.271,310.103,2002,1
ProSieben Online,2.292.174,35.430.923,2002,1
publish.de,35.547,123.751,2002,1
publity - the new way to invest,4.868,22.705,2002,1
Pützchens Markt,1.261,4.242,2002,1
Qualimedic.de,552.249,13.295.578,2002,1
Radio Bonn/Rhein-Sieg,11.931,32.397,2002,1
RADIO ENERGY NETWORK,263.310,1.303.607,2002,1
Radio Hamburg,113.131,612.866,2002,1
RADIO PSR,115.061,535.205,2002,1
Radio Regenbogen,261.923,2.261.912,2002,1
Radio Salue,324.879,1.229.237,2002,1
radio SAW,88.180,553.381,2002,1
Radio Tele FFH-Server,568.238,3.633.367,2002,1
radionora.de,17.695,174.880,2002,1
Red Seven Online,615.356,6.122.207,2002,1
REISE & PREISE online,75.481,366.676,2002,1
Revier Markt & Annoncen Avis - Kleinanzeigen NRW,578.802,5.138.745,2002,1
Revier Markt - Annoncen AVIS,542.744,7.027.782,2002,1
Rhein Main Presse/Main-Rheiner,309.752,1.842.186,2002,1
Rhein-Main.Net,225.054,1.715.345,2002,1
Rheinpfalz-Online,310.137,2.060.325,2002,1
Ricardo.de,1.064.527,5.329.458,2002,1
rp-online,1.994.612,12.379.931,2002,1
RPR Online,151.445,2.291.079,2002,1
rs2.de,337.289,2.266.798,2002,1
rsh.de,176.844,1.155.483,2002,1
RTL World - Gamechannel,3.498.755,37.005.342,2002,1
RTL World - GZSZ,644.880,6.754.524,2002,1
RTL World - RTL 2,996.173,10.268.100,2002,1
RTL World - TOGGO (Super RTL),1.053.357,22.224.499,2002,1
RTL.de,12.338.840,248.187.788,2002,1
RTV de,80.802,402.017,2002,1
RUND-UMS-BABY,339.653,7.089.154,2002,1
RZ-Online,1.116.583,6.340.451,2002,1
Saarland Online,233.553,1.524.990,2002,1
Saarland-Networx / SZ-Newsline,146.783,763.845,2002,1
SAT 1 Online,2.945.322,74.868.598,2002,1
schuelerjobs.de - Arbeit für Schüler und Studenten,44.002,270.216,2002,1
Schwäbische Zeitung Online,270.763,1.982.989,2002,1
serc-wildwings,37.120,138.900,2002,1
sharper.de,365.143,1.275.520,2002,1
SHZ.DE - about: media,83.752,456.321,2002,1
Siegener Zeitung online,30.529,130.862,2002,1
SKOL-SÜDKURIER Online,175.218,1.945.550,2002,1
sn-online,7.616,20.933,2002,1
Solingen-online,25.399,107.639,2002,1
SOUND 7,7.157,22.390,2002,1
Spektrum der Wissenschaft/Wissenschaft online,356.236,1.425.604,2002,1
SPIEGEL ONLINE,15.537.821,92.337.520,2002,1
Sport1,5.065.366,37.306.995,2002,1
Stellen Online,187.129,787.945,2002,1
STERN Online,2.215.010,16.951.946,2002,1
Stuttgarter Zeitung online & Stuttgarter...,511.914,4.045.425,2002,1
sueddeutsche.de,2.578.828,17.149.203,2002,1
Südwest Presse Online,16.972,45.485,2002,1
Super-Illu.de,451.549,6.219.588,2002,1
SVZ online,122.846,361.756,2002,1
SW-ONLINE (SWOL),89.149,802.819,2002,1
SZ-Online,375.662,2.750.758,2002,1
Tach auch! - Das Online-Magazin der Bremer...,21.003,51.298,2002,1
"taz, die tageszeitung",602.600,3.516.283,2002,1
TecChannel,1.279.043,7.123.001,2002,1
Telekom-Baskets-Bonn,48.287,372.882,2002,1
teltarif.de -Kommunikation ganz einfach,1.066.988,6.692.309,2002,1
Thueringer Allgemeine,68.098,364.612,2002,1
TOMORROW Online,2.735.896,18.167.458,2002,1
Toms Hardware Guide,878.168,6.396.996,2002,1
top agrar online,78.203,343.028,2002,1
Topautomobile.de,32.089,363.549,2002,1
travelchannel,624.403,3.036.648,2002,1
Traveltainment,35.161,180.958,2002,1
TUI.de,1.261.482,16.282.906,2002,1
TV Movie.de,704.415,15.220.172,2002,1
TV SPIELFILM Online,911.670,7.358.493,2002,1
TV TODAY Network,1.424.136,5.602.101,2002,1
TV TODAY Network - Kostenlos,1.420.647,12.790.715,2002,1
TV TODAY Network - myToday,64.469,351.357,2002,1
TV TODAY Network - Online Today,186.995,915.102,2002,1
TV TOTAL,1.673.269,8.290.587,2002,1
TW network,101.603,680.806,2002,1
Twnetwork.de Englisch,32.213,77.737,2002,1
UBOOT,13.294.995,138.144.723,2002,1
Umzug nach Bonn,5.136,21.453,2002,1
Varta Hotel- und Restaurantführer,155.516,1.101.381,2002,1
VDI-Nachrichten online,65.426,372.926,2002,1
Vectrum - Der  Suchkatalog,111.047,166.783,2002,1
Vereinigte Wirtschaftsdienste - vwd Internet...,487.061,2.130.426,2002,1
vidado,216.084,2.463.607,2002,1
Virtueller Marktplatz - Treffpunkt Niederbayern,13.071,53.741,2002,1
Virtueller Marktplatz Bayern,35.383,203.597,2002,1
"Volksstimme, Magdeburg",78.929,499.472,2002,1
VOX,499.204,3.653.840,2002,1
w&v-online,508.057,2.076.227,2002,1
Wahre Liebe Online,1.090.358,34.386.408,2002,1
Wallstreet-Online,3.228.175,36.630.049,2002,1
Waterpolo World,44.406,348.980,2002,1
WAZ Online,309.129,1.789.615,2002,1
Webbes,19.454,82.089,2002,1
Wekanet,11.282,22.327,2002,1
Wer liefert was?; WLW-ONLINE,888.753,6.419.749,2002,1
Weser Kurier Online,57.680,240.057,2002,1
Westline,501.879,3.942.780,2002,1
wetter.com,1.001.299,5.704.594,2002,1
wetter.net,1.213.337,3.197.165,2002,1
WetterOnline,3.755.776,31.467.461,2002,1
WirtschaftsWoche,598.889,3.117.132,2002,1
Wochenquiz,58.185,127.722,2002,1
WP Online,65.958,250.103,2002,1
WR Online,111.432,475.209,2002,1
www.start.de - raus per maus,214.749,1.549.638,2002,1
WZ-newsline (Westdeutsche Zeitung),84.697,400.171,2002,1
Xonio - Das Tor zur mobilen Welt,513.583,3.100.835,2002,1
Yam.de,634.639,5.319.997,2002,1
Yellowmap,573.829,3.404.760,2002,1
Young Professional,15.756,84.257,2002,1
ZDNet,3.743.014,37.752.710,2002,1
Zeit im Internet,1.010.794,5.629.338,2002,1
ZET.NET Community,71.507,442.259,2002,1
ZET.NET Spickzettel,188.468,509.675,2002,1
Zweite Hand Automarkt,67.293,644.443,2002,1
Zweite Hand Bootshandel,28.588,249.681,2002,1
Zweite Hand.de - Ihr Anzeigenmarkt für Berlin,578.450,4.702.573,2002,1
104.6 RTL Online,66.775,296.893,2002,2
[030] - Das Stadtmagazin für Berlin,39.260,157.642,2002,2
Aachener Nachrichten,79.520,338.361,2002,2
Aachener Zeitung,99.504,515.432,2002,2
abenteuer und reisen,114.490,734.923,2002,2
Absatzwirtschaft-Online,28.038,135.087,2002,2
Aerzte Zeitung Online,255.498,1.309.405,2002,2
Agenturcafe,27.397,89.089,2002,2
All-in.de,68.740,565.796,2002,2
Allegra,309.127,4.479.965,2002,2
Allesklar,1.633.495,6.418.979,2002,2
almeda.de - Ihr Gesundheitsnetz,290.567,1.326.968,2002,2
AMICA Online,1.411.792,14.580.818,2002,2
Antenne Bayern,1.981.552,7.623.261,2002,2
AOL Homepage,13.555.136,85.401.447,2002,2
ARIVA.DE,686.545,6.269.934,2002,2
ASTROWOCHE,603.350,3.637.032,2002,2
AUDIMAX - Online,30.021,89.765,2002,2
Augsburger Allgemeine Online,206.122,2.405.678,2002,2
ausderluft,82.445,1.071.277,2002,2
Auto Bild Online,685.625,4.868.836,2002,2
Autohandel-Net,40.869,434.107,2002,2
Autohaus Online,82.809,460.967,2002,2
Baden Online,82.642,781.726,2002,2
baden24.de,127.201,1.025.210,2002,2
Badische Zeitung Online,205.161,1.313.540,2002,2
BauNetz,271.630,2.130.796,2002,2
Beig Verlag,12.092,50.470,2002,2
Bellevue (Tomorrow- Networld),109.983,1.207.462,2002,2
Berlin 1,1.687.846,16.118.607,2002,2
Berliner Rundfunk.de,9.552,25.119,2002,2
BerlinOnline,1.696.780,10.760.118,2002,2
Bild der Wissenschaft online,303.446,1.160.934,2002,2
Bild.de,10.693.302,147.109.274,2002,2
bildschirmschoner.de,530.776,6.308.510,2002,2
bizz.de,23.592,69.332,2002,2
Bodenseeferien.de,13.517,55.382,2002,2
boerse-online.de,844.586,4.983.473,2002,2
boerse.de,1.149.971,6.592.292,2002,2
Bonn XXL,17.471,57.284,2002,2
Bonner Illustrierte,19.368,123.767,2002,2
Bonnsite,27.805,124.613,2002,2
BRAVO.de,1.392.717,15.141.897,2002,2
Bremer Nachrichten Online,14.497,39.951,2002,2
Brigitte u. Brigitte Young Miss,1.227.349,14.969.262,2002,2
Bundesliga.de,863.554,6.279.194,2002,2
Business-Guide,106.120,714.068,2002,2
Business-Suchdienst,60.654,130.054,2002,2
capital.de,100.328,376.772,2002,2
CHART-RADIO,352.809,1.877.343,2002,2
CHIP Online,7.796.740,55.899.290,2002,2
ciao.com,989.653,15.011.956,2002,2
CINA,43.202,313.710,2002,2
CINEMA Online,644.470,6.001.303,2002,2
City-Guide,140.669,669.157,2002,2
CityInfoNetz,157.911,725.390,2002,2
cityweb,705.297,2.391.284,2002,2
Computer Channel,1.908.619,14.760.348,2002,2
Computer Partner Online,97.714,318.485,2002,2
Computerwoche Online,393.387,1.301.079,2002,2
condomi.com,46.732,90.571,2002,2
Consors - Discount-Broker AG,3.701.785,19.163.728,2002,2
Coupé Online,3.498.394,66.077.552,2002,2
de.internet.com,68.471,172.998,2002,2
deltaradio,121.183,627.870,2002,2
Der Betrieb Online,9.703,41.887,2002,2
deutsche getränke wirtschaft,489,1.239,2002,2
Deutsche Standards,13.645,26.438,2002,2
Deutsches Ärzteblatt - online,121.111,1.193.043,2002,2
Deutsches Entertainment Magazin,749.738,2.774.627,2002,2
DEWEZET.de,73.306,347.905,2002,2
DHD24 Online Kleinanzeigen-Datenbank,804.811,7.981.401,2002,2
DIE WELT online,3.477.195,15.478.862,2002,2
Die Wochenshow Online,63.814,601.879,2002,2
dk-online (Delmenhorster Kreisblatt),21.323,120.562,2002,2
DMEuro.com,429.648,1.964.129,2002,2
Donau.de,137.179,1.100.660,2002,2
donaukurier.de,48.736,250.511,2002,2
Düsseldorf Diskret,16.150,101.770,2002,2
Echo Online,124.888,917.357,2002,2
eComments.de,46.012,320.268,2002,2
Edgar,1.917.312,12.030.874,2002,2
EFF 21 - Der Event- und Freizeitfinder,29.345,262.880,2002,2
EifelLive,9.625,37.412,2002,2
Elektroniknet,86.223,275.879,2002,2
Elektronikpraxis.de,7.029,24.237,2002,2
Elektrotechnik.de,6.398,17.574,2002,2
ELLE,139.502,1.158.745,2002,2
Eltern.de,410.879,8.574.390,2002,2
Emder Zeitung.de,7.203,16.118,2002,2
ENERGY Sachsen,35.771,168.814,2002,2
Evita,740.399,4.391.571,2002,2
Express Online,1.453.152,8.798.473,2002,2
Fachzeitschriften Portal,5.641,48.641,2002,2
Falk online,1.752.447,18.776.223,2002,2
Familie & Co-Online,119.845,1.086.098,2002,2
Fashionseek.net,11.616,31.720,2002,2
FAZ.NET,1.580.099,9.926.709,2002,2
Financial Times Deutschland,1.850.518,6.054.414,2002,2
finanzen.net - Internetservice für Kapitalanleger,424.028,1.828.654,2002,2
Finanztreff.de,2.895.765,21.967.892,2002,2
FIT FOR FUN Online,438.762,3.493.853,2002,2
Flyer,22.664,120.746,2002,2
FNweb,17.302,69.801,2002,2
FOCUS ONLINE,6.868.334,67.923.278,2002,2
FOCUS-MONEY ONLINE,164.195,848.926,2002,2
Forum-Verlag online/Forum Architektur,2.423,7.669,2002,2
Fränkischer Tag Online,54.068,167.326,2002,2
Frankenpost online,90.037,449.259,2002,2
Frankfurter Rundschau online,592.774,4.280.936,2002,2
Freie Presse Online,292.099,1.956.593,2002,2
freundin online,472.878,4.032.789,2002,2
Funkschau,23.172,81.083,2002,2
GALA Online,69.762,377.397,2002,2
GameStar,2.019.522,15.593.943,2002,2
gamigo.de,4.001.626,48.799.311,2002,2
General-Anzeiger Online,354.162,2.791.476,2002,2
General-Anzeiger-Rhauderfehn,31.562,90.168,2002,2
GENIOS Internet,12.761,90.188,2002,2
GEO Explorer/GEO Saison Traveller,412.659,2.186.563,2002,2
GERMAN HOT 100 COMPANY TRACKER,10.501,44.451,2002,2
Gesundheit-aktuell - Ihr Online...,18.569,63.032,2002,2
GMX,59.969.582,454.323.688,2002,2
Golfgui.de - Das Golf-Portal,1.356,3.624,2002,2
Grafschafter Nachrichten online,21.214,58.132,2002,2
GRIN Global Research & Information Network,183.392,1.781.030,2002,2
Guter Rat ! - Das Magazin im Netz,70.422,235.747,2002,2
GZ online,29.177,176.271,2002,2
Hamburger Morgenpost Online,458.668,2.724.408,2002,2
Handelsblatt Junge Karriere,195.841,1.785.084,2002,2
Handelsblatt.com,2.131.760,9.977.645,2002,2
handy.de,1.156.150,9.894.194,2002,2
happyYuppie.com,38.923,296.468,2002,2
Harburger Anzeigen und Nachrichten,26.233,113.365,2002,2
HAUS+GARTEN ONLINE,162.696,1.466.933,2002,2
Hausarbeiten.de,936.222,6.987.571,2002,2
Heidenheimer Zeitung online,20.410,68.618,2002,2
Heilbronner Stimme online,174.308,1.614.605,2002,2
heise online,15.050.056,76.516.066,2002,2
Hightext iBusiness,196.081,592.545,2002,2
Hit Radio Antenne,220.119,1.665.139,2002,2
HitMachine.de,16.236,80.007,2002,2
hitradio Antenne1,392.276,3.259.487,2002,2
Hitradioworld,11.087,34.353,2002,2
Hochschulanzeiger.de,44.221,167.015,2002,2
HORIZONT.NET,290.941,1.449.320,2002,2
"HUNDERT,6 Das Berlin Radio",16.901,82.935,2002,2
Idowa Online,37.389,242.548,2002,2
IKZ-HAUSTECHNIK-Online,14.235,47.373,2002,2
IKZ-online.de (Iserlohner Kreisanzeiger),18.846,62.570,2002,2
impulse.de,19.874,55.963,2002,2
INTERNET-MAGAZIN,65.654,309.510,2002,2
Internetcologne,807.882,1.248.675,2002,2
INTRINET,156.012,878.197,2002,2
Jesus-online,70.259,266.270,2002,2
Jesus.de,386.589,3.740.452,2002,2
Joe-Max,2.273,7.843,2002,2
Kabel 1,336.316,2.579.894,2002,2
Kamelle,37.154,266.939,2002,2
kicker online,2.437.941,18.782.735,2002,2
KISS FM,48.792,187.614,2002,2
KN-Online,89.513,402.894,2002,2
Köln Diskret,63.078,1.123.575,2002,2
Koeln.de,805.189,6.757.120,2002,2
Kölner Stadt-Anzeiger Online,500.992,2.883.259,2002,2
Kölnische Rundschau,133.240,598.520,2002,2
Koelnverkehr,34.552,202.186,2002,2
Konstanz.de,47.703,355.986,2002,2
Konstruktionspraxis.de,3.789,13.439,2002,2
Kontaktanzeigen.de,306.524,2.669.803,2002,2
kress online,338.984,927.592,2002,2
L'TUR Last Minute Online,1.615.206,20.186.843,2002,2
LAUT. der musikkanal.,495.479,1.872.037,2002,2
Liebe Suende Online,184.776,1.085.856,2002,2
Liebe.de,936.014,18.285.145,2002,2
Life-TV,7.980,24.618,2002,2
Lifeline-Gesundheitsberater,554.664,2.899.601,2002,2
Lissy-Online,66.556,1.676.783,2002,2
Live in Concert online,189,392,2002,2
Living at home,250.326,4.070.269,2002,2
LN-online,127.083,460.937,2002,2
LR-Online,74.081,675.389,2002,2
LVZ-Online,202.938,1.201.481,2002,2
LZ-Online,30.407,113.790,2002,2
LZ|NET,193.162,1.034.359,2002,2
Mac-Online-Kombi,152.862,598.159,2002,2
Macwelt,362.559,1.555.198,2002,2
Märkische Oderzeitung Online,32.609,169.954,2002,2
MaerkischeAllgemeine.de,54.185,299.865,2002,2
Main-Echo Online,92.647,434.251,2002,2
Main-Netz,35.537,357.544,2002,2
Main-Shop,2.480,17.910,2002,2
mainpost.de,183.792,1.161.208,2002,2
manager magazin online,1.214.558,4.300.743,2002,2
Managers Health,5.024,18.531,2002,2
Markt - Lippe,7.914,19.732,2002,2
MAX Online,1.047.533,15.402.706,2002,2
Media-Daten.com,46.640,274.514,2002,2
mein berlin,766.723,4.827.659,2002,2
Mein schöner Garten Online,117.127,1.049.680,2002,2
Mein-Gesundheitszentrum,168,552,2002,2
mobile.de Der Automarkt,10.516.902,289.098.579,2002,2
moneyspecial,53.338,156.544,2002,2
Morgenweb,231.941,1.462.291,2002,2
Motorrad-Online,196.315,2.529.422,2002,2
motorrad.net,114.125,518.559,2002,2
Mountainbike.de,26.705,197.332,2002,2
mt-online,46.310,133.867,2002,2
mtv.de,1.285.575,6.488.325,2002,2
multimedia.de,64.763,523.980,2002,2
MVweb,122.822,817.149,2002,2
mz-web.de,108.037,623.776,2002,2
n-tv online,4.043.482,25.714.504,2002,2
N24 Online,282.605,1.109.899,2002,2
NBC GIGA,3.399.630,48.983.860,2002,2
NETedition,197.811,1.081.100,2002,2
NetworkWorld Germany,149.907,433.950,2002,2
Netzmarkt-Deutschlands erstes Internet-Kaufhaus,682.090,6.164.647,2002,2
